Month-Year,Mode,Passenger trips
Dec-2023,Bus,6430904
Dec-2023,Tram,883452
Dec-2023,Ferry,449611
Dec-2023,Citytrain,2958924
Jan-2024,Tram,927011
Jan-2024,Ferry,427669
Jan-2024,Citytrain,2937102
Jan-2024,Bus,7287187
Feb-2024,Ferry,434015
Feb-2024,Citytrain,3932825
Feb-2024,Tram,908989
Feb-2024,Bus,9504336
Mar-2024,Ferry,482741
Mar-2024,Bus,10010413
Mar-2024,Tram,978962
Mar-2024,Citytrain,4034484
Apr-2024,Citytrain,3692726
Apr-2024,Ferry,503471
Apr-2024,Tram,916413
Apr-2024,Bus,8622334
May-2024,Tram,891642
May-2024,Ferry,487059
May-2024,Citytrain,4171554
May-2024,Bus,9935911
Jun-2024,Tram,827352
Jun-2024,Citytrain,3476804
Jun-2024,Ferry,504297
Jun-2024,Bus,8242491
Jul-2024,Citytrain,3950434
Jul-2024,Ferry,544145
Jul-2024,Tram,981002
Jul-2024,Bus,9640655
Aug-2024,Citytrain,4850462
Aug-2024,Tram,1208433
Aug-2024,Bus,10804273
Aug-2024,Ferry,669817
Sep-2024,Ferry,678912
Sep-2024,Citytrain,4409114
Sep-2024,Tram,1164701
Sep-2024,Bus,9684901
Oct-2024,Citytrain,4975912
Oct-2024,Tram,1265364
Oct-2024,Ferry,657128
Oct-2024,Bus,11101075
Nov-2024,Bus,10167916
Nov-2024,Citytrain,4517430
Nov-2024,Ferry,592792
Nov-2024,Tram,1157224
Dec-2024,Bus,7976981
Dec-2024,Tram,1232692
Dec-2024,Citytrain,3608590
Dec-2024,Ferry,632185
Jan-2025,Ferry,633144
Jan-2025,Bus,8294700
Jan-2025,Citytrain,3688824
Jan-2025,Tram,1273695
Feb-2025,Ferry,619781
Feb-2025,Bus,10466067
Feb-2025,Citytrain,4649021
Feb-2025,Tram,1152885
Mar-2025,Citytrain,4117546
Mar-2025,Ferry,415617
Mar-2025,Tram,936598
Mar-2025,Bus,9413898
Apr-2025,Ferry,669013
Apr-2025,Tram,1212852
Apr-2025,Citytrain,4550336
Apr-2025,Bus,9563012
May-2025,Ferry,626242
May-2025,Tram,1170172
May-2025,Citytrain,5020692
May-2025,Bus,11283054
Jun-2025,Ferry,621778
Jun-2025,Bus,10257058
Jun-2025,Tram,1070446
Jun-2025,Citytrain,4704082
Jul-2025,Ferry,756948
Jul-2025,Citytrain,5059696
Jul-2025,Bus,10991191
Jul-2025,Tram,1345477
Aug-2025,Citytrain,5239621
Aug-2025,Tram,1283972
Aug-2025,Bus,11447981
Aug-2025,Ferry,706399
Sep-2025,Tram,1225569
Sep-2025,Bus,11044397
Sep-2025,Citytrain,4882787
Sep-2025,Ferry,713788
Oct-2025,Ferry,723371
Oct-2025,Citytrain,4969567
Oct-2025,Tram,1323610
Oct-2025,Bus,11625862
Nov-2025,Citytrain,4672849
Nov-2025,Bus,10805383
Nov-2025,Ferry,644488
Nov-2025,Tram,1194051
Dec-2025,Tram,1292512
Dec-2025,Citytrain,4033290
Dec-2025,Ferry,748677
Dec-2025,Bus,9022736
Jan-2026,Tram,1334015
Jan-2026,Ferry,740793
Jan-2026,Citytrain,3990525
Jan-2026,Bus,8939285
Feb-2026,Ferry,652559
Feb-2026,Citytrain,4730789
Feb-2026,Bus,11107238
Feb-2026,Tram,1196655
Mar-2026,Ferry,741106
Mar-2026,Tram,1381787
Mar-2026,Bus,13523077
Mar-2026,Citytrain,5703071
Apr-2026,Ferry,810509
Apr-2026,Tram,1358746
Apr-2026,Citytrain,4115549
Apr-2026,Bus,11539383
May-2026,Citytrain,4639263
May-2026,Bus,12158192
May-2026,Ferry,742846
May-2026,Tram,1188786
